name,url,image,rating,sold_quantity,price_current,price_original,discount
Glad2Glow Perfect cover waterproof cushion dengankandungan skincare mencegah kekusaman dan kulit keringsepanjang hari G2G fondation skin tint Concealer Foundation Wajah foundation cushion anti oksidasi dan tahan lama cushionnya glad2glow,https://shop-id.tokopedia.com/pdp/cushion-glad2glow-skincare-anti-kekusaman-5-shades/1729733926853838114,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/32c95a43e77f4394a044e0e410fd3fd7~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,8567000,74702,159000,53
【Baru】Highlighter Contour Eyeshadow Glitter Long Lasting Bronzer Pearlescent Eye Shadow,https://shop-id.tokopedia.com/pdp/highlighter-eyeshadow-glitter-long-lasting-dan-premium-quality/1729858467919858525,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/171d1cec504d4334bccbcd8c52229e0d~tplv-o3syd03w52-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,33000,12000,20000,40
Maroli Hair & Scalp Oil Perawatan Rambut Rontok,https://shop-id.tokopedia.com/pdp/minyak-rambut-organik-herbal-anti-rontok-kuat-akar/1731757431593600228,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/92f0027138814b319ee43410be6c2203~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,89000,46990,46990,0
40g Collagen Water Sunscreen Spf 50+ Pa+++ Sunscreen Cream Sunblock Pemutih Pelembab Sunscreen Fade Spots Sun Protection Repair Moisturizing Skin Uv Protection Tahan Air Double Whitening Glowing Up Sunscreen Sunblock Krim Pelindung Facial Wajah,https://shop-id.tokopedia.com/pdp/sunscreen-krim-pelindung-sadoer-40g-spf-50-pa-pelembab-pemutih/1730779174730761853,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/29fcd26ff5f14c9bb4a6dd1313c8a9af~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,123000,16400,16900,3
Glowsophy Cover Glow Serum Cushion Long Lasting All Day - Healthy Glow Finish Cushion Ringan dengan Medium Coverage Menyamarkan Pori-Pori dan Garis Halus Cushion Kulit Asia Foundation Waterproof Make Up,https://shop-id.tokopedia.com/pdp/kushion-wajah-glowsophy-full-coverage-skincare-infused/1732629806682441087,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/87f304e7ebe649fdbe5356ba6fe66e0d~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,1339000,61000,198000,69
SPECIAL SIGNATURE SERIES | TIDEN Perfume | HUGABLE INTENSE | Parfum Pria,https://shop-id.tokopedia.com/pdp/hugable-intense-parfum-pria-dari-tiden-co-aroma-manis-segar/1729577688642718390,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/226ef7fe61074227871342a8c7bfa159~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,1322000,92000,99000,7
[SUSANTI ROHADI] [2 - 3 PACK] MAKUKU Diapers Dry Care NB/S/M/L/XL/XXL,https://shop-id.tokopedia.com/pdp/makuku-popok-dry-care-lembut-3-lapisan-daya-serap-tinggi/1731529574473631158,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/4bc52ba1cb174870b43c27b81c2df2c2~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,287000,135200,285400,53
[PAKET 3 Ball] FLUFFY Popok Bayi Tipe Celana Anti Bakteri Size S40 M30 L26 XL26 Pcs,https://shop-id.tokopedia.com/pdp/popok-bayi-fluffy-celana-anti-bakteri-s-m-l-xl-halal/1732239167506777402,https://p16-oec-va.ibyteimg.com/tos-maliva-i-o3syd03w52-us/b2f069d0ddc848e69dbc01921c7e57f2~tplv-o3syd03w52-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.8,14000,115000,160000,28
Posh Body Spray Purple Wish + Hijab Green Blossom 150 ml (2 pcs),https://shop-id.tokopedia.com/pdp/posh-body-spray-set-hijab-green-blossom-purple-wish/1731768826829375202,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/3/29/55deb1d9-b4fc-4cc6-a6fc-97a522b8f481.png~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,21000,40100,56600,29
Little Pop face mist by Camille,https://shop-id.tokopedia.com/pdp/little-pop-face-mist-camille-100ml-melembabkan-menyegarkan-menenangkan/1729446535410649349,https://p16-oec-sg.ibyteimg.com/tos-alisg-i-aphluv4xwc-sg/aa9a7f27bf964a80aecf55434943ec6f~tplv-aphluv4xwc-crop-webp:300:300.webp?dr=15592&t=555f072d&ps=933b5bde&shp=8dbd94bf&shcp=d741f1be&idc=my&from=2378011839,4.9,3306000,40000,40000,0
